TYPE,SUBTYPE,CONFIRMED
Agriculture & Forestry/Wildlife,Extermination/Pest Control,1
Agriculture & Forestry/Wildlife,Farming(Animal Production),1
Agriculture & Forestry/Wildlife,Farming(Crop Production),1
Agriculture & Forestry/Wildlife,Fishing/Hunting,1
Agriculture & Forestry/Wildlife,Landscape Services,1
Agriculture & Forestry/Wildlife,Lawn care Services,1
Agriculture & Forestry/Wildlife,Other (Agriculture & Forestry/Wildlife),1
Business & Information,Consultant,1
Business & Information,Employment Office,1
Business & Information,Fundraisers,1
Business & Information,Going out of Business Sales,1
Business & Information,Marketing/Advertising,1
Business & Information,Non Profit Organization,1
Business & Information,Notary Public,1
Business & Information,Online Business,1
Business & Information,Other (Business & Information),1
Business & Information,Publishing Services,1
Business & Information,Record Business,1
Business & Information,Retail Sales,1
Business & Information,Technology Services,1
Business & Information,Telemarketing,1
Business & Information,Travel Agency,1
Business & Information,Video Production,1
Construction/Utilities/Contracting,AC & Heating,1
Construction/Utilities/Contracting,Architect,1
Construction/Utilities/Contracting,Building Construction,1
Construction/Utilities/Contracting,Building Inspection,1
Construction/Utilities/Contracting,Concrete Manufacturing,1
Construction/Utilities/Contracting,Contractor,1
Construction/Utilities/Contracting,Engineering/Drafting,1
Construction/Utilities/Contracting,Equipment Rental,1
Construction/Utilities/Contracting,Other (Construction/Utilities/Contracting),1
Construction/Utilities/Contracting,Plumbing,1
Construction/Utilities/Contracting,Remodeling,1
Construction/Utilities/Contracting,Repair/Maintenance,1
Education,Child Care Services,1
Education,College/Universities,1
Education,Cosmetology School,1
Education,Elementary & Secondary Education,1
Education,GED Certification,1
Education,Other (Education),1
Education,Private School,1
Education,Real Estate School,1
Education,Technical School,1
Education,Trade School,1
Education,Tutoring Services,1
Education,Vocational School,1
Finance & Insurance,Accountant,1
Finance & Insurance,Auditing,1
Finance & Insurance,Bank/Credit Union,1
Finance & Insurance,Bookkeeping,1
Finance & Insurance,Cash Advances,1
Finance & Insurance,Collection Agency,1
Finance & Insurance,Insurance,1
Finance & Insurance,Investor,1
Finance & Insurance,Other (Finance & Insurance),1
Finance & Insurance,Pawn Brokers,1
Finance & Insurance,Tax Preparation,1
Food & Hospitality,Alcohol/Tobacco Sales,1
Food & Hospitality,Alcoholic Beverage Manufacturing,1
Food & Hospitality,Bakery,1
Food & Hospitality,Caterer,1
Food & Hospitality,Food/Beverage Manufacturing,1
Food & Hospitality,Grocery/Convenience Store(Gas Station),1
Food & Hospitality,Grocery/Convenience Store(No Gas Station),1
Food & Hospitality,Hotels/Motels(Casino),1
Food & Hospitality,Hotels/Motels(No Casino),1
Food & Hospitality,Mobile Food Services,1
Food & Hospitality,Other (Food & Hospitality),1
Food & Hospitality,Restaurant/Bar,1
Food & Hospitality,Specialty Food(Fruit/Vegetables),1
Food & Hospitality,Specialty Food(Meat),1
