TYPE,SUBTYPE,CONFIRMED
ENVIRONMENT,SAVE FORESTS,1
ENVIRONMENT,SAVE ANIMALS,1
ENVIRONMENT,SAVE WILDLIFE,1
ENVIRONMENT,TREE PLANTATION,1
ENVIRONMENT,ORGANIC FARMING,1
ENVIRONMENT,AGAINST POLLUTION,1
ENVIRONMENT,INNOVATION,1
ENVIRONMENT,CLEANLINESS,1
ENVIRONMENT,WATER CONSERVATION,1
ENVIRONMENT,RESOURCE CONSERVATION,1
ENVIRONMENT,DOCUMENTARIES,1
SOCIAL CHANGE,WOMEN EMPOWERMENT,1
SOCIAL CHANGE,CHILD PROTECTION,1
SOCIAL CHANGE,MEN ENLIGHTENMENT,1
SOCIAL CHANGE,SLAVERY,1
SOCIAL CHANGE,AGAINST COPPUPTION,1
SOCIAL CHANGE,CHILD EMPOWERMENT,1
SOCIAL CHANGE,HELP THE OLD AND SICK,1
SOCIAL CHANGE,HELP THE NEEDY,1
SOCIAL CHANGE,HUMANITARIAN AID,1
SOCIAL CHANGE,ANTI-SLAVERY,1
SOCIAL CHANGE,DOCUMENTARIES,1
SOCIAL CHANGE,DISPENSE EDUCATION,1
SPECIAL TALENTS,SPORTS AND ATHLETICS,1 
SPECIAL TALENTS,SINGING,1
SPECIAL TALENTS,ACTING,1
SPECIAL TALENTS,READING,1
SPECIAL TALENTS,WRITING,1
SPECIAL TALENTS,ARTS,1
SPECIAL TALENTS,OTHER SPECIAL TALENT,
PEACE RESTORATION,LOCAL LEVEL,1
PEACE RESTORATION,NATIONAL LEVEL,1
PEACE RESTORATION,GLOBAL LEVEL,1
CHANGE THE WORLD,INNOVATION,1
CHANGE THE WORLD,AWARENESS,1
